subnum,effector,mm,init
140123BQ720117,M,1,A01
140123BQ720117,M,1,A01
140123BQ720117,M,2,A01
140123BQ720117,M,0,A01
140123BQ720117,M,0,A01
140123BQ720117,M,0,A01
140123BQ720117,M,0,A01
140123BQ720117,M,0,A01
140123BQ720117,M,0,A01
140123BQ720117,M,0,A01
140123BQ720117,L,0,A01
140123BQ720117,L,2,A01
140123BQ720117,L,1,A01
140123BQ720117,L,1,A01
140123BQ720117,L,0,A01
140123BQ720117,L,0,A01
140123BQ720117,L,0,A01
140123BQ720117,L,0,A01
140123BQ720117,L,0,A01
140123BQ720117,L,0,A01
140127HR520114,L,0,A02
140127HR520114,L,0,A02
140127HR520114,L,0,A02
140127HR520114,L,0,A02
140127HR520114,L,0,A02
140127HR520114,L,0,A02
140127HR520114,L,0,A02
140127HR520114,L,0,A02
140127HR520114,L,0,A02
140127HR520114,L,0,A02
140127HR520114,M,1,A02
140127HR520114,M,0,A02
140127HR520114,M,1.5,A02
140127HR520114,M,0,A02
140127HR520114,M,0,A02
140127HR520114,M,0,A02
140127HR520114,M,0,A02
140127HR520114,M,0,A02
140127HR520114,M,0,A02
140127HR520114,M,0,A02
140130JI70123,L,0,A03
140130JI70123,L,0,A03
140130JI70123,L,0,A03
140130JI70123,L,0,A03
140130JI70123,L,0,A03
140130JI70123,L,0,A03
140130JI70123,L,0,A03
140130JI70123,L,0,A03
140130JI70123,L,0,A03
140130JI70123,L,0,A03
140130JI70123,RP,1,A03
140130JI70123,RP,0,A03
140130JI70123,RP,0,A03
140130JI70123,RP,0,A03
140130JI70123,RP,0,A03
140130JI70123,RP,0,A03
140130JI70123,RP,0,A03
140130JI70123,RP,0,A03
140130JI70123,RP,0,A03
140130JI70123,RP,0,A03
140305NU550730,M,1,A04
140305NU550730,M,3.5,A04
140305NU550730,M,1,A04
140305NU550730,M,1.5,A04
140305NU550730,M,2,A04
140305NU550730,M,1,A04
140305NU550730,M,3,A04
140305NU550730,M,0,A04
140305NU550730,M,0,A04
140305NU550730,M,0,A04
140305NU550730,L,2.5,A04
140305NU550730,L,1,A04
140305NU550730,L,1.5,A04
140305NU550730,L,2,A04
140305NU550730,L,2,A04
140305NU550730,L,0,A04
140305NU550730,L,0,A04
140305NU550730,L,0,A04
140305NU550730,L,0,A04
140305NU550730,L,0,A04
140311HK461114,L,1,A06
140311HK461114,L,1,A06
140311HK461114,L,3,A06
140311HK461114,L,1,A06
140311HK461114,L,0,A06
140311HK461114,L,0,A06
140311HK461114,L,0,A06
140311HK461114,L,0,A06
140311HK461114,L,0,A06
140311HK461114,L,0,A06
140311HK461114,RP,2,A06
140311HK461114,RP,2,A06
140311HK461114,RP,0,A06
140311HK461114,RP,0,A06
140311HK461114,RP,0,A06
140311HK461114,RP,0,A06
140311HK461114,RP,0,A06
140311HK461114,RP,0,A06
140311HK461114,RP,0,A06
